train/critic_loss,train/learning_rate,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
6.86563093212721e+32,0.0003,2.6109378922807296e+16,21,-955.5389404296875,5475,847611594539008.0,343,115248,336.0,-129938.46259326,115147
8.35218260093965e+32,0.0003,2.8713621605318656e+16,21,-951.8877563476562,5492,937884156690432.0,344,115584,336.0,-129948.25870267,115483
1.028707437150493e+33,0.0003,3.1909659241611264e+16,21,-959.2730712890625,5509,1037786706608128.0,345,115920,336.0,-129949.44203739,115819
1.2468391260002881e+33,0.0003,3.5573478945980416e+16,21,-970.0635986328125,5525,1148365941243904.0,346,116256,336.0,-129952.15491601998,116155
1.537206627794949e+33,0.0003,3.961084269350093e+16,21,-979.8117065429688,5541,1270543533735936.0,347,116592,336.0,-129955.62103618999,116491
1.8805349066377926e+33,0.0003,4.357185480740045e+16,21,-976.2569580078125,5557,1405902112423936.0,348,116928,336.0,-129958.67141322998,116827
2.2828527305201385e+33,0.0003,4.829962166285107e+16,21,-981.096923828125,5573,1555568569352192.0,349,117264,336.0,-129957.46363923998,117163
2.8109929230853916e+33,0.0003,5.350718360990515e+16,21,-985.296630859375,5589,1721154725216256.0,350,117600,336.0,-129960.53418455001,117499
3.443691078793737e+33,0.0003,5.946641637336678e+16,21,-992.931396484375,5605,1904512516227072.0,351,117936,336.0,-129968.98191914002,117835
4.2136842124990667e+33,0.0003,6.543266711339008e+16,21,-989.7012939453125,5622,2107250944507904.0,352,118272,336.0,-129970.46419554,118171
5.171337295729687e+33,0.0003,7.21583539706921e+16,21,-988.85302734375,5639,2331677883891712.0,353,118608,336.0,-129973.55247514001,118507
6.371229247907631e+33,0.0003,8.041396830837146e+16,21,-999.6073608398438,5655,2579839483641856.0,354,118944,336.0,-129977.48984369001,118843
7.750431863015905e+33,0.0003,8.903633849339085e+16,21,-1003.1351318359375,5671,2854739939164160.0,355,119280,336.0,-129979.66833612001,119179
9.41236388987645e+33,0.0003,9.777103925306982e+16,21,-997.6051635742188,5687,3158583373987840.0,356,119616,336.0,-129982.05788411,119515
1.157850889473793e+34,0.0003,1.0955520974258176e+17,21,-1014.4871826171875,5704,3494966286352384.0,357,119952,336.0,-129970.40241836998,119851
1.4328140843896063e+34,0.0003,1.201433435093074e+17,21,-1007.2982177734375,5720,3867335387512832.0,358,120288,336.0,-129975.34255825,120187
1.7414327837714594e+34,0.0003,1.3334808302190592e+17,21,-1013.6989135742188,5738,4278758357860352.0,359,120624,336.0,-129975.58801067,120523
2.111634295935611e+34,0.0003,1.4721433339743437e+17,21,-1013.9852294921875,5755,4734491700494336.0,360,120960,336.0,-129970.78276554,120859
2.624285568420331e+34,0.0003,1.631770775692247e+17,21,-1018.894775390625,5771,5238246267158528.0,361,121296,336.0,-129968.27163176,121195
3.20326591579797e+34,0.0003,1.8139308184358093e+17,21,-1026.9671630859375,5786,5796241975803904.0,362,121632,336.0,-129970.98086757,121531
3.914093314647706e+34,0.0003,1.999788484423844e+17,21,-1025.7032470703125,5801,6413383679082496.0,363,121968,336.0,-129962.79589191999,121867
4.7835369803790465e+34,0.0003,2.2007292165619712e+17,21,-1022.323486328125,5817,7096694185394176.0,364,122304,336.0,-129965.14407360001,122203
5.831868181135289e+34,0.0003,2.441461446308004e+17,21,-1028.16259765625,5832,7852208460660736.0,365,122640,336.0,-129966.46659716999,122539
7.185763588020453e+34,0.0003,2.714717745399726e+17,21,-1036.6097412109375,5848,8688387053584384.0,366,122976,336.0,-129968.96754162999,122875
8.717167712314762e+34,0.0003,2.9894449848909824e+17,21,-1033.993896484375,5866,9613426372378624.0,367,123312,336.0,-129968.99818738,123211
1.0707213765883834e+35,0.0003,3.3194754258763776e+17,21,-1040.9818115234375,5882,1.063630397243392e+16,368,123648,336.0,-129970.57960485,123547
1.3238649622361628e+35,0.0003,3.665776920965939e+17,21,-1041.5947265625,5898,1.1768780547948544e+16,369,123984,336.0,-129966.85716253,123883
1.6139477873393897e+35,0.0003,4.0613162647342285e+17,21,-1045.9132080078125,5914,1.302208314343424e+16,370,124320,336.0,-129962.87182877,124219
1.959539843804173e+35,0.0003,4.470287517425336e+17,21,-1042.664306640625,5930,1.4409183633866752e+16,371,124656,336.0,-129965.11255034,124555
2.429293919012373e+35,0.0003,4.939674872478433e+17,21,-1043.9449462890625,5946,1.5943612239970304e+16,372,124992,336.0,-129970.48525819002,124891
2.989804448591882e+35,0.0003,5.475714966004695e+17,21,-1048.84033203125,5962,1.7642382400946176e+16,373,125328,336.0,-129976.23187985999,125227
