time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
563472,1677,336.0,50623,6340.75451473,11,2145.383358728318,0.001,-467.40499914260135,563136
563808,1678,336.0,50651,6251.62407583,11,2125.0650707426526,0.001,-467.6057192484538,563472
564144,1679,336.0,50677,6285.47669201,11,2264.76125226702,0.001,-468.009831564767,563808
564480,1680,336.0,50703,6292.950817039999,11,2268.680698576428,0.001,-468.4234933399019,564144
564816,1681,336.0,50729,6274.46986952,11,2134.0546964009604,0.001,-468.7840067545573,564480
565152,1682,336.0,50755,6334.873943959999,11,2021.3803879874092,0.001,-468.9873437427339,564816
565488,1683,336.0,50781,6350.465391600001,11,2250.7968711853027,0.001,-469.38626044137135,565152
565824,1684,336.0,50807,6358.672214890002,11,2098.6033029102146,0.001,-469.6933210463751,565488
566160,1685,336.0,50833,6373.591911000001,11,1667.3335560389928,0.001,-470.1041381472633,565824
566496,1686,336.0,50859,6361.937123240001,11,2081.7087079002745,0.001,-470.4337325323196,566160
566832,1687,336.0,50884,6290.454569150001,11,2342.7929910932266,0.001,-470.7609685262044,566496
567168,1688,336.0,50910,6276.90184321,11,2200.817613692511,0.001,-471.0018023536319,566832
567504,1689,336.0,50937,6258.887420160001,11,2218.2885825747535,0.001,-471.40757242838544,567168
567840,1690,336.0,50964,6298.566939049999,11,2297.626467750186,0.001,-471.5064215887161,567504
568176,1691,336.0,50990,6287.4954265900005,11,2161.8899169195265,0.001,-472.0323836916969,567840
568512,1692,336.0,51015,6365.86173542,11,2171.2795680818103,0.001,-472.2885989234561,568176
568848,1693,336.0,51041,6422.45409024,11,2122.956248873756,0.001,-472.73491814022975,568512
569184,1694,336.0,51067,6446.6682149200005,11,2236.163527897426,0.001,-472.987973349435,568848
569520,1695,336.0,51093,6509.3761676700005,11,2608.4548190888904,0.001,-473.2749506632487,569184
569856,1696,336.0,51118,6483.992833789999,11,2076.0203603108725,0.001,-473.50711350213913,569520
570192,1697,336.0,51143,6506.776365639999,11,2152.020948864165,0.001,-473.8379414876302,569856
570528,1698,336.0,51169,6485.41925034,11,2211.2295904613675,0.001,-474.3321642194475,570192
570864,1699,336.0,51195,6466.84998031,11,2394.1302604675293,0.001,-474.4952054704939,570528
571200,1700,336.0,51222,6485.719436309999,11,2468.3741295224145,0.001,-474.9129889351981,570864
571536,1701,336.0,51248,6515.81729913,11,2329.7429782322474,0.001,-475.25613766624815,571200
571872,1702,336.0,51273,6518.6094734,11,2034.6600755964007,0.001,-475.6968078613281,571536
572208,1703,336.0,51300,6446.3588739,11,2292.1912580217636,0.001,-475.84326044718426,571872
572544,1704,336.0,51326,6466.7752342799995,11,2235.750619252523,0.001,-476.3343240647089,572208
572880,1705,336.0,51352,6440.09113112,11,2210.4819281441823,0.001,-476.38175710042316,572544
573216,1706,336.0,51378,6467.76704476,11,2214.5087076822915,0.001,-476.82652918497723,572880
573552,1707,336.0,51405,6478.071484780001,11,2255.0829364231654,0.001,-477.30227842785064,573216
