time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191223:2210,0.0,0.0,0.0,0.0,0.0,1.96,2.48,0.0
20191223:2310,0.0,0.0,0.0,0.0,0.0,1.61,2.48,0.0
20191224:0010,0.0,0.0,0.0,0.0,0.0,1.28,2.41,0.0
20191224:0110,0.0,0.0,0.0,0.0,0.0,1.03,2.34,0.0
20191224:0210,0.0,0.0,0.0,0.0,0.0,0.73,2.28,0.0
20191224:0310,0.0,0.0,0.0,0.0,0.0,0.57,2.28,0.0
20191224:0410,0.0,0.0,0.0,0.0,0.0,0.54,2.41,0.0
20191224:0510,0.0,0.0,0.0,0.0,0.0,0.55,2.48,0.0
20191224:0610,0.0,0.0,0.0,0.0,0.0,0.59,2.62,0.0
20191224:0710,6023000.0,17.39,64.25,1.39,9.96,0.7,2.62,0.0
20191224:0810,2449000.0,0.0,40.64,0.87,16.84,0.93,3.1,0.0
20191224:0910,2742000.0,0.0,44.25,0.94,21.6,1.41,3.38,0.0
20191224:1010,3189000.0,0.0,49.67,1.06,23.78,1.97,3.59,0.0
20191224:1110,25187000.0,93.3,194.33,4.55,23.11,2.21,3.66,0.0
20191224:1210,31434000.0,173.64,181.86,4.59,19.67,2.3,3.52,0.0
20191224:1310,8507000.0,17.36,92.02,2.02,13.85,2.0,3.17,0.0
20191224:1410,6409000.0,41.36,47.1,1.02,6.17,1.63,2.62,0.0
20191224:1510,0.0,0.0,0.0,0.0,0.0,1.32,2.83,0.0
20191224:1610,0.0,0.0,0.0,0.0,0.0,1.07,2.62,0.0
20191224:1710,0.0,0.0,0.0,0.0,0.0,0.84,2.41,0.0
20191224:1810,0.0,0.0,0.0,0.0,0.0,0.63,2.34,0.0
20191224:1910,0.0,0.0,0.0,0.0,0.0,0.52,2.28,0.0
20191224:2010,0.0,0.0,0.0,0.0,0.0,0.35,2.14,0.0
20191224:2110,0.0,0.0,0.0,0.0,0.0,0.48,2.07,0.0
20191224:2210,0.0,0.0,0.0,0.0,0.0,0.5,1.93,0.0
20191224:2310,0.0,0.0,0.0,0.0,0.0,0.52,2.0,0.0
