time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
9904,227328,336.0,111,41401.573017740004,22,0.735762357711792,1100,-0.006445109347987454,0.005491038,4969184.38125,0.0431640625,0.2,0.0003,1.7881393432617188e-07,-3.3216388016939162,2355539.75
9995,229376,336.0,112,41441.258215329995,22,0.733104944229126,1110,-0.005617178317334037,0.0049869064,5074416.0265625,0.031005859375,0.2,0.0003,1.7881393432617188e-07,-3.3152435190975664,2821810.0
10086,231424,336.0,113,41543.36777004999,22,0.7300050854682922,1120,-0.004792494287539739,0.00552773,4865378.3890625,0.023291015625,0.2,0.0003,0.0,-3.3037386789917944,2361804.25
10175,233472,336.0,114,41662.58106799,22,0.7260904312133789,1130,-0.0054890404513571415,0.0047433926,4969231.5328125,0.027197265625,0.2,0.0003,5.960464477539063e-08,-3.288168866187334,3026861.5
10263,235520,336.0,115,41806.77550237,22,0.7239108085632324,1140,-0.006877600052393973,0.004677214,5096642.34921875,0.04228515625,0.2,0.0003,5.960464477539063e-08,-3.276734173297882,2223523.5
10352,237568,336.0,116,42004.494911439986,22,0.72169429063797,1150,-0.006466616860416252,0.0053205565,4947408.32421875,0.038037109375,0.2,0.0003,0.0,-3.2669322714209557,2473668.75
10443,239616,336.0,117,42123.78350912,22,0.7214071154594421,1160,-0.0070562137712840926,0.0061637606,4960880.65390625,0.052587890625,0.2,0.0003,5.960464477539063e-08,-3.260151445865631,2160158.0
10529,241664,336.0,118,42294.62826338,22,0.7209963798522949,1170,-0.005269217047316488,0.003919204,5253120.096875,0.025439453125,0.2,0.0003,5.960464477539063e-08,-3.258895318955183,2416239.5
10616,243712,336.0,119,42418.83367629,22,0.7190217971801758,1180,-0.005690326732292306,0.0059876377,5146224.396875,0.04345703125,0.2,0.0003,5.960464477539063e-08,-3.2525885924696922,3079815.75
10705,245760,336.0,120,42533.550657759995,22,0.7190292477607727,1190,-0.004106774351384956,0.0034269579,5281130.090625,0.019873046875,0.2,0.0003,5.960464477539063e-08,-3.2481801100075245,3192720.5
10797,247808,336.0,121,42661.33498722,22,0.7179171442985535,1200,-0.006796707758621778,0.0063849413,5259978.5390625,0.046142578125,0.2,0.0003,5.960464477539063e-08,-3.24468584433198,2512024.25
10886,249856,336.0,122,42756.58788798001,22,0.7158353924751282,1210,-0.00407930464571109,0.0043638074,5206896.22578125,0.020263671875,0.2,0.0003,0.0,-3.2386885933578013,2401310.75
10977,251904,336.0,123,42861.82984266999,22,0.7160553336143494,1220,-0.005082682638021652,0.0048499117,5180489.1765625,0.036865234375,0.2,0.0003,5.960464477539063e-08,-3.2350224770605562,2464957.5
11067,253952,336.0,124,42913.20929525,22,0.7113420367240906,1230,-0.0038797059540229386,0.003911115,5083805.73203125,0.0146484375,0.2,0.0003,0.0,-3.224835544079542,2337150.75
