time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
11158,256000,336.0,125,43073.55441459,22,0.706813395023346,1240,-0.00530047722713789,0.0051998394,5187203.31328125,0.02822265625,0.2,0.0003,0.0,-3.205455334484577,2623749.5
11248,258048,336.0,126,43231.5055444,22,0.7046685218811035,1250,-0.005058432664372958,0.0060679084,5462184.3828125,0.032080078125,0.2,0.0003,5.960464477539063e-08,-3.190889520943165,2669123.75
11338,260096,336.0,127,43272.79856461999,22,0.7037825584411621,1260,-0.006312376201094594,0.004843052,5292606.48671875,0.030419921875,0.2,0.0003,5.960464477539063e-08,-3.1826145254075526,2874745.75
11425,262144,336.0,128,43489.85908901,22,0.7015296816825867,1270,-0.00780439160153037,0.005353233,5311299.9734375,0.04208984375,0.2,0.0003,1.1920928955078125e-07,-3.1770314656198027,2683454.25
11512,264192,336.0,129,43611.32718602,22,0.6993787884712219,1280,-0.006093359991791658,0.0047316304,5729373.01484375,0.028076171875,0.2,0.0003,0.0,-3.1687955409288406,3275373.75
11601,266240,336.0,130,43712.337173609994,22,0.6995442509651184,1290,-0.004836612009967212,0.0050932905,5512026.28515625,0.031396484375,0.2,0.0003,5.960464477539063e-08,-3.1638285174965857,2690858.25
11691,268288,336.0,131,43759.01742013001,22,0.6985301971435547,1300,-0.0061643980938242745,0.00539348,5543780.290625,0.038427734375,0.2,0.0003,0.0,-3.1592832319438457,3239979.0
11782,270336,336.0,132,43894.579266789995,22,0.6959183812141418,1310,-0.004171956950449385,0.003961293,5284026.2390625,0.025830078125,0.2,0.0003,0.0,-3.1508501395583153,2298430.0
11872,272384,336.0,133,43926.49555146,22,0.6939020156860352,1320,-0.0058441569184651595,0.005305514,5292341.21484375,0.0330078125,0.2,0.0003,0.0,-3.1395602881908418,3375636.5
11962,274432,336.0,134,44019.849399850005,22,0.6897249221801758,1330,-0.0063649181902292185,0.0055859042,5279907.45546875,0.034423828125,0.2,0.0003,5.960464477539063e-08,-3.126599411666393,2530380.0
