rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates
336.0,11,833616,73577,-125309.68572730999,2481,0.001,34235.150599888395,15603893.906994049,833280
336.0,11,833952,73607,-127373.98509072,2482,0.001,34105.00737072172,17318005.41294643,833616
336.0,11,834288,73636,-125767.06897492001,2483,0.001,34048.71296037947,15158470.542410715,833952
336.0,11,834624,73666,-126071.90322928998,2484,0.001,34127.45601981027,15917082.270833334,834288
336.0,11,834960,73695,-124028.24293729998,2485,0.001,34217.1630859375,16749668.763392856,834624
336.0,11,835296,73724,-124920.83721953999,2486,0.001,34029.88135928199,17474099.33705357,834960
336.0,11,835632,73753,-123875.03806272999,2487,0.001,34158.64769345238,15309739.141369049,835296
336.0,11,835968,73776,-124426.22844699999,2488,0.001,34035.36607142857,15306078.279761905,835632
336.0,11,836304,73799,-123728.90990866002,2489,0.001,34376.81615048363,15165669.80282738,835968
336.0,11,836640,73821,-124206.68872064,2490,0.001,34062.06716192336,15036185.448660715,836304
336.0,11,836976,73843,-124589.10445374,2491,0.001,34187.87107049851,15561158.331845239,836640
336.0,11,837312,73866,-124818.35454825,2492,0.001,34162.82898530506,17762606.589285713,836976
336.0,11,837648,73889,-124993.50528903,2493,0.001,34080.45311337426,16099047.14732143,837312
336.0,11,837984,73911,-124943.91686076998,2494,0.001,34104.93741861979,14199466.061755951,837648
336.0,11,838320,73933,-122498.43268884999,2495,0.001,34161.13678850447,15510813.961309524,837984
336.0,11,838656,73956,-122277.94047911001,2496,0.001,34281.36625744047,16991427.720238097,838320
336.0,11,838992,73978,-122601.86924413001,2497,0.001,34336.12169828869,17269426.82142857,838656
336.0,11,839328,74001,-122571.11005086,2498,0.001,34263.74297805059,15767726.319940476,838992
336.0,11,839664,74024,-121147.48690774999,2499,0.001,34283.70654296875,15423667.226190476,839328
336.0,11,840000,74046,-120089.69372750001,2500,0.001,34189.38142903646,16852616.383184522,839664
336.0,11,840336,74068,-120692.67977535,2501,0.001,34229.258172898066,16033697.651041666,840000
336.0,11,840672,74090,-119110.84503286998,2502,0.001,33987.56689453125,16732443.84970238,840336
336.0,11,841008,74112,-119830.45883236,2503,0.001,34120.883091517855,16086646.58407738,840672
336.0,11,841344,74135,-119855.54144343999,2504,0.001,34079.21378580729,16725725.03794643,841008
336.0,11,841680,74158,-120943.51139531,2505,0.001,34174.75247628348,14116344.66294643,841344
336.0,11,842016,74181,-119795.98875733001,2506,0.001,34212.96429734003,16451144.357886905,841680
336.0,11,842352,74204,-118781.32128182998,2507,0.001,34004.47422572545,17778771.72247024,842016
336.0,11,842688,74227,-118720.65708084998,2508,0.001,34095.84984188988,14157902.43452381,842352
336.0,11,843024,74251,-119604.36563771,2509,0.001,34072.01400902158,17728180.234375,842688
336.0,11,843360,74274,-120363.89234429001,2510,0.001,33976.28770228795,15839039.551339285,843024
336.0,11,843696,74297,-120282.98074795002,2511,0.001,33977.87346540178,16123094.058779761,843360
336.0,11,844032,74321,-119494.42353567002,2512,0.001,34142.17195638021,16833117.07440476,843696
336.0,11,844368,74345,-118054.35965828001,2513,0.001,34030.89028785342,15162278.229166666,844032
336.0,11,844704,74369,-115779.90621129003,2514,0.001,34086.558233351934,15900679.758184524,844368
336.0,11,845040,74392,-113954.41079347002,2515,0.001,34281.845865885414,15771996.354166666,844704
336.0,11,845376,74417,-115273.02123326002,2516,0.001,34176.987432570684,15765388.504464285,845040
336.0,11,845712,74441,-113452.75923932,2517,0.001,34092.50916108631,16119710.973214285,845376
336.0,11,846048,74464,-112375.41558178999,2518,0.001,34159.98689778646,15909233.949404761,845712
336.0,11,846384,74488,-112584.53009369,2519,0.001,34193.06231398809,15725477.075892856,846048
336.0,11,846720,74512,-113170.41890903002,2520,0.001,34194.75804501488,16005814.592261905,846384
336.0,11,847056,74535,-111090.16416324003,2521,0.001,34146.32440476191,15495991.85342262,846720
336.0,11,847392,74557,-112533.64313365001,2522,0.001,34076.69380115328,17155477.47842262,847056
336.0,11,847728,74579,-112281.88401883001,2523,0.001,34085.32200985863,16538941.173363095,847392
336.0,11,848064,74603,-112273.06639135002,2524,0.001,34143.2762625558,16453949.28794643,847728
336.0,11,848400,74627,-111158.03062129,2525,0.001,33931.18341936384,14714585.955357144,848064
336.0,11,848736,74650,-110092.91085619,2526,0.001,34232.93933686756,17481119.73214286,848400
336.0,11,849072,74674,-110628.93248962001,2527,0.001,33986.60346912203,16589115.89360119,848736
336.0,11,849408,74697,-110656.27653601002,2528,0.001,34335.14760044643,15882855.458333334,849072
336.0,11,849744,74721,-112215.40888585002,2529,0.001,34058.72309802828,16299665.93080357,849408
336.0,11,850080,74745,-111980.99883213,2530,0.001,34071.90952845982,14991263.730654761,849744
336.0,11,850416,74768,-111148.91920839,2531,0.001,34313.725830078125,15269993.907738095,850080
336.0,11,850752,74791,-110205.55546662999,2532,0.001,34233.80261811756,16627044.473958334,850416
336.0,11,851088,74814,-110912.12043012999,2533,0.001,34194.444208054316,17284576.72470238,850752
336.0,11,851424,74838,-112991.47311453,2534,0.001,34283.35259719122,14902069.510416666,851088
336.0,11,851760,74862,-112900.31897075,2535,0.001,34010.42833891369,14940308.82514881,851424
336.0,11,852096,74885,-112991.39768638,2536,0.001,34195.37586030506,16873455.15699405,851760
336.0,11,852432,74908,-111552.96602261,2537,0.001,34186.9665062314,17925429.442708332,852096
336.0,11,852768,74932,-113520.1443386,2538,0.001,34095.52719261533,16324684.351190476,852432
336.0,11,853104,74956,-112927.04536217,2539,0.001,34073.792271205355,17842935.20089286,852768
336.0,11,853440,74979,-112203.05278069,2540,0.001,34183.60945638021,16454147.572916666,853104
336.0,11,853776,75003,-112677.91720535001,2541,0.001,34040.59297107515,17163168.145833332,853440
336.0,11,854112,75026,-113103.34401871997,2542,0.001,34109.685337611605,16349429.41294643,853776
336.0,11,854448,75050,-113819.90325565997,2543,0.001,34094.01863606771,18206192.395833332,854112
336.0,11,854784,75075,-112582.02338702999,2544,0.001,33919.71682012649,15629634.217261905,854448
